brand_name,cuisine_tags,restaurant_rating,delivery_time,service_fee,minimum_order_amount,new_restaurant
"Caza Da Venice , Jumeirah Lakes towers","['Pizza', 'Desserts', 'Italian']",Good,30,0,40,False
NYC Pizza,"['Pizza', 'Pasta', 'Italian']",Very good,44,5,10,False
800 Pharmacy,['Pharmacy'],Amazing,41,5,10,False
Rose Charms,['Flowers'],OK,35,5,10,False
"Dunkin, Jumeriah Lake Towers","['Desserts', 'Cafe']",Very good,40,3,10,False
"Subway, Jumeirah Beach Residence - JBR","['Healthy', 'Sandwiches', 'Breakfast']",Very good,39,5,10,False
Gino's Deli,"['Italian', 'Sandwiches', 'Healthy']",Very good,44,5,10,False
Pizza Di Rocco,"['Pizza', 'Pasta', 'Italian']",Very good,43,5,10,False
Totally Acai,"['Breakfast', 'Desserts', 'Healthy']",NA,46,5,10,True
1900` Burger,"['American', 'Burgers', 'International']",NA,46,5,10,True
Al Manara Pharmacy,['Pharmacy'],Very good,41,5,10,False
"Tortilla, Dubai Media City","['Mexican', 'American']",Very good,46,0,10,False
Shop Kitopi Express,"['Grocery', 'Convenience', 'Store']",Very good,45,7,10,False
"Chin Chin, Dubai Marina","['Asian', 'Chinese', 'Thai']",Very good,49,5,10,False
Mission Katsu Curry,"['Japanese', 'Asian', 'Healthy']",Good,47,7,10,False
Forni Pizza,"['Pizza', 'Italian']",Very good,45,0,20,False
Keto By Foxxy,"['Specialty', 'Store', 'Bakery', 'Desserts']",Very good,39,7,10,False
Massimo's Restaurant,"['Italian', 'Pizza', 'Desserts']",Very good,49,7,10,False
Breakfast Up,"['Breakfast', 'Healthy']",Good,48,7,10,False
Taza,"['Arabic', 'Asian', 'Sandwiches']",Very good,48,7,10,False
Let's  Grab - Tex Mex,"['Mexican', 'Vegetarian', 'Fast', 'Food']",Good,52,3,10,False
Chubby Balls,"['Specialty', 'Store', 'Cakes', 'Desserts']",Good,47,7,10,False
"Kcal Restaurant, JLT,Jumeirah Lakes Towers - JLT","['Healthy', 'Arabic', 'Burgers']",Very good,50,5,10,False
The Little Bali,"['Asian', 'Indonesian']",Very good,40,0,20,False
SANDWICH LAB,"['Sandwiches', 'Wraps']",Good,43,0,0,False
Favourite Choice,"['Healthy', 'International']",Very good,45,5,10,False
AlFeniq Restaurant And Cafe,"['Lebanese', 'International']",Very good,40,3,30,False
HIGH STEAKS - Steak Sandwiches,"['American', 'Fast', 'Food']",Very good,51,0,10,False
"HengChen, Jumeirah Lakes Towers","['Chinese', 'Asian']",Very good,49,5,10,False
"Johnny Rockets, Dubai Marina","['Burgers', 'Sandwiches', 'American']",Very good,44,7,10,False
"The Coffee Club , Jumeirah Lakes Towers - JLT","['American', 'Breakfast', 'International']",Very good,47,3,10,False
MARIACHI - Mexican Cuisine,"['Healthy', 'Mexican']",Very good,43,0,0,False
Chinmark Restaurant,"['International', 'Grills', 'Sandwiches']",OK,44,7,10,False
"Burger King, Dubai Internet City - DIC","['Burgers', 'Sandwiches', 'American']",Very good,35,7,0,False
Raju Omlet,"['Indian', 'Breakfast']",Very good,48,5,10,False
La Cantina,"['International', 'Cafe', 'Sandwiches']",Very good,46,3,10,False
"Perfetto Salad, Dubai Marina","['Healthy', 'Salads']",Good,47,7,10,False
The Rice Bowl,"['Indian', 'Chinese', 'Healthy']",NA,49,3,10,False
Maui Poke Bar,['Healthy'],Very good,47,7,10,False
Mughaliya Darbar Restaurant DMCC,"['Indian', 'Chinese']",Very good,47,5,10,False
Tikka Taj,['Indian'],OK,48,5,10,False
Thicc Milkshakes,['Beverages'],OK,48,5,10,False
Amigos Express,"['International', 'Mexican']",OK,46,7,10,False
Mansoor,"['American', 'Burgers', 'Sandwiches']",Amazing,46,7,10,False
Aunty Berry - Acai Bowls,"['Healthy', 'Asian']",OK,46,7,10,False
Sikbeh Gourmet,"['Arabic', 'Healthy', 'Lebanese']",NA,46,7,10,False
Sweet Truth,"['Specialty', 'Store', 'Cakes', 'Desserts', 'Bakery']",Very good,44,5,10,False
TRAINING DAY - Healthy Salads,"['Salads', 'Smoothies', 'Healthy']",Very good,39,0,0,False
Manzoni Bistro & Bar,"['Italian', 'Pizza']",Good,52,5,10,False
Cakes by Shakespeare,"['Specialty', 'Store', 'Cakes', 'Desserts', 'Bakery']",Good,45,7,10,False
Breakfast By Broccoli Pizza And Pasta,"['Breakfast', 'Italian', 'American']",Good,49,5,10,False
Hadoota Masreya (Ibn Batuta),"['Egyptian', 'Sandwiches']",Very good,50,5,50,False
Keto For Less,"['Healthy', 'Vegetarian', 'Salads']",Very good,44,5,10,False
"Sandwichys, Jumeirah Lakes Towers - JLT","['Sandwiches', 'Burgers', 'Desserts']",NA,50,5,10,False
Moonlight Masala,['Indian'],NA,50,5,10,False
Great Wok,"['Asian', 'Chinese', 'Japanese']",Very good,45,7,10,False
Chop House,"['Grills', 'Healthy']",OK,47,3,10,False
Baladi Butchery,"['Specialty', 'Store', 'Butchery']",Good,45,0,50,False
Mix and Feast,"['Arabic', 'Shawarma', 'Doner', 'Grills']",NA,47,5,10,True
Azzurro Pizzeria,"['Italian', 'Pizza']",Good,51,5,10,False
Le Fournil Bakery,"['Specialty', 'Store', 'Breakfast', 'Sandwiches']",Amazing,42,7,10,False
Hula Hula Acai,"['Healthy', 'Breakfast', 'Desserts']",Good,44,5,10,False
"Battle of the Brands, Dubai Marina","['Mexican', 'Pasta', 'Breakfast']",Very good,46,7,10,False
The Noodle House,"['Asian', 'Chinese', 'Thai']",Very good,35,0,0,False
